Time_period,Country,Region,Total area of the country (1000 ha),% of total country area cultivated (%),Total population (1000 inhab),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Surface water: entering the country (total) (10^9 m3/year),Surface water: leaving the country to other countries (total) (10^9 m3/year),Surface water: total external renewable (10^9 m3/year),Groundwater: entering the country (total) (10^9 m3/year),Groundwater: leaving the country to other countries (total) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable surface water (10^9 m3/year),Total renewable groundwater (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total exploitable water resources (10^9 m3/year),Interannual variability (WRI) (-),Seasonal variability (WRI) (-),Total dam capacity (km3),Irrigation potential (1000 ha),Area equipped for irrigation: total (1000 ha),Area equipped for irrigation: actually irrigated (1000 ha),% of the cultivated area equipped for irrigation (%),% of irrigation potential equipped for irrigation (%),Flood recession cropping area non-equipped (1000 ha),Cultivated wetlands and inland valley bottoms non-equipped (1000 ha),% of agricultural water managed area equipped for irrigation (%),% of area equipped for irrigation by surface water (%),% of area equipped for irrigation by groundwater  (%),Total harvested irrigated crop area (full control irrigation) (1000 ha),Irrigated cropping intensity (%),% of total grain production irrigated (%),Area salinized by irrigation (1000 ha),Area waterlogged by irrigation (1000 ha),Flood occurrence (WRI) (-),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhab)
2008-2012,Singapore,Asia | Southern and Eastern Asia | Maritime Southeast Asia,71.6,1.02,5300,-3,5303,7402,54528,1.788,,,,0.6,0,0,0,0,0,0,,,0.6,0,,,,0.0749,,,,,,,,,,,,,,,,,,100,
2008-2012,Timor-Leste,Asia | Southern and Eastern Asia | Maritime Southeast Asia,1487,15.74,1102,758.5,343.5,74.11,1175,22.3,8.129,0.886,0.8,8.215,0,0,0,0,0,0,8.129,0.886,8.215,0,,,,,,,,,,,,,,,,,,,,,60.5,95.2,
2013-2017,Bahrain,Asia | Middle East | Arabian Peninsula,77.1,5.966,1377,170,1207,1786,23400,0.064,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,3.1,0.3,,4.23,,,,,,,,,,,,,,,0,100,100,
2013-2017,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.9035,3892,368,3524,218.4,29034,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,2.7,0.4,,25,,,,,,,,,,,,,,,0.6,99,99,
2013-2017,Oman,Asia | Middle East | Arabian Peninsula,30950,0.2223,4491,1263,3228,14.51,15643,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,3.1,0.5,0.0884,,,,,,,,,,,,,,,,1.9,86.1,95.5,
2013-2017,Qatar,Asia | Middle East | Arabian Peninsula,1161,1.344,2235,-98,2333,192.5,74720,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,2.6,0.4,,52.13,,,,,,,,,,,,,,,0,100,100,
2013-2017,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,1.697,31540,6686,24854,14.67,20482,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,3.5,1.6,1.004,,,,,,,,,,,,,,,,1.2,97,97,
2013-2017,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,0.9246,9157,965,8192,109.5,40406,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,3.6,0.6,0.0611,,,,,,,,,,,,,,,,1.2,100,99.6,
2013-2017,Yemen,Asia | Middle East | Arabian Peninsula,52797,2.928,26832,17995,8837,50.82,1340,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,4.9,2.4,,,,,,,,,,,,,,,,,2.9,,,
2013-2017,Armenia,Asia | Middle East | Caucasus,2974,16.99,3018,1144,1874,101.5,3499,16.71,3.948,4.311,1.4,6.859,0,5.28,0.91,0,,0.91,4.858,4.311,7.769,11.71,,1.4,2.4,,666,,,,,,,,,,,,,,,3.3,100,100,
2013-2017,Azerbaijan,Asia | Middle East | Caucasus,8660,24.94,9754,4504,5250,112.6,5439,38.71,5.955,6.51,4.35,8.115,19.76,,26.56,0,,26.56,32.52,6.51,34.68,76.6,,1.4,2,21.5,3200,,,,,,,,,,,,,,,3,77.8,94.7,
2013-2017,Georgia,Asia | Middle East | Caucasus,6970,8.852,4000,1691,2309,57.39,3491,71.51,56.9,17.23,16,58.13,8.35,11.91,5.2,0,,5.2,62.1,17.23,63.33,8.211,,1.1,1.9,3.414,725,,,,,,,,,,,,,,,3.6,100,100,
2013-2017,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,9.441,79109,20793,58316,45.33,5372,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,2.3,1.8,32.24,15000,,,,,,,,,,,,,,,3.2,92.1,97.7,
2013-2017,Iraq,Asia | Middle East | Near East,43505,12.11,36423,11576,24847,83.72,4640,93.97,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,1.6,2.5,151.8,5554,,,,,,,,,,,,,,,2.4,70.1,93.8,
2013-2017,Israel,Asia | Middle East | Near East,2207,18.02,8064,767,7297,365.4,36706,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,,2.7,3,,,,,,,,,,,,,,,,,2.9,100,100,
2013-2017,Jordan,Asia | Middle East | Near East,8932,3.605,7595,1160,6435,85.03,4940,9.915,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,2.6,2.6,0.2749,85,103.4,,32.11,121.6,,,100,,,103.4,,,,,3,92.3,97.8,
2013-2017,Lebanon,Asia | Middle East | Near East,1045,24.69,5851,1414,4437,559.9,8050,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,,2,3.4,0.228,177.5,,,,,,,,,,,,,,,2.8,99,99,
2013-2017,Occupied Palestinian Territory,Asia | Middle East | Near East,602,24.58,4668,1245,3423,775.4,2716,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,,2.7,3.1,,,,,,,,,,,,,,,,,3,81.5,50.7,
2013-2017,Syrian Arab Republic,Asia | Middle East | Near East,18518,30.96,18502,5665,12837,99.91,,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,,1.8,2.9,,,,,,,,,,,,,,,,,2.7,87.2,92.3,
2013-2017,Turkey,Asia | Middle East | Near East,78535,30.49,78666,22378,56288,100.2,9127,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,,1.5,2.6,157.3,8500,,,,,,,,,,,,,,,2.6,100,100,
2013-2017,Afghanistan,Asia | Central Asia,65286,12.12,32527,23980,8547,49.82,590.3,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,2.5,2.5,2.009,,,2165,,,,,,,,,,,,,3.7,47,78.2,
2013-2017,Kazakhstan,Asia | Central Asia,272490,10.84,17625,8695,8930,6.468,10440,681.2,56.5,33.85,26,64.35,72.04,40.33,44.06,0,,44.06,100.6,33.85,108.4,40.64,,2.3,3.1,79.95,3768,,,,,,,,,,,,,,,1.7,85.6,99.4,
2013-2017,Kyrgyzstan,Asia | Central Asia,19995,6.782,5940,3902,2038,29.71,1106,106.6,46.46,13.69,11.22,48.93,0.558,41.81,-25.31,0,,-25.31,21.15,13.69,23.62,1.128,,2.4,2.7,,2247,,,,,,,,,,,,,,,2.1,86.2,96.7,
2013-2017,Tajikistan,Asia | Central Asia,14138,6.154,8482,6176,2306,59.99,925.9,97.69,60.46,6,3,63.46,34.19,94.65,-41.55,0,,-41.55,18.91,6,21.91,17.34,,2.1,3.6,,1580,,,,,,,,,,,,,,,3.7,66.7,93.1,
2013-2017,Turkmenistan,Asia | Central Asia,48810,4.098,5374,2685,2689,11.01,6947,78.58,1,0.405,0,1.405,80.2,78.46,23.36,0,,23.36,24.36,0.405,24.77,97,,2.4,1.8,,2353,,,,,,,,,,,,,,,1.8,,,
2013-2017,Uzbekistan,Asia | Central Asia,44740,10.66,29893,19089,10804,66.81,2232,92.16,9.54,8.8,2,16.34,102.2,99.35,32.53,0,,32.53,42.07,8.8,48.87,80.07,,2.2,3.2,,4915,,,,,,,,,,,,,,,2.7,,98.5,
2013-2017,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14763,57.57,160996,106012,54984,1091,1211,393.6,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,0.7,3.6,6.477,6933,,,,,,,,,,,,,,,4.9,87,86.5,
2013-2017,Bhutan,Asia | Southern and Eastern Asia | South Asia,3839,2.933,774.8,474.7,300.1,20.18,2533,84.46,78,8.1,8.1,78,0,78,0,0,,0,78,8.1,78,0,,0.6,3.5,,,,,,,,,,,,,,,,,4.7,100,100,
2013-2017,India,Asia | Southern and Eastern Asia | South Asia,328726,51.52,1311051,891112,419939,398.8,1579,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,1.7,4.2,,139500,70400,66103,41.57,50.47,,,100,,,92575,140,,,,3.9,92.6,97.1,
2013-2017,Maldives,Asia | Southern and Eastern Asia | South Asia,30,23,363.7,200.7,163,1212,8641,0.5916,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0.03,0,,,,,,,,,,,,,,,,,,,,,97.9,99.5,
2013-2017,Nepal,Asia | Southern and Eastern Asia | South Asia,14718,15.8,28514,23220,5294,193.7,732.3,220.8,198.2,20,20,198.2,12,210.2,12,0,,12,210.2,20,210.2,5.709,,1,4.1,0.0853,2178,1369,,58.86,62.86,,,100,,,,,,,,4.5,91.8,90.9,
2013-2017,Pakistan,Asia | Southern and Eastern Asia | South Asia,79610,39.26,188925,116004,72921,237.3,1429,393.3,47.4,55,47.4,55,265.1,10.72,191.8,0,,191.8,239.2,55,246.8,77.71,,2.4,2.7,27.81,21300,,,,,,,,,,,,,,,3.9,89.9,93.9,
2013-2017,Sri Lanka,Asia | Southern and Eastern Asia | South Asia,6561,35.06,20715,16748,3967,315.7,3974,112.3,52,7.8,7,52.8,0,0,0,0,0,0,52,7.8,52.8,0,,1.6,3,,570,,,,,,,,,,,,,,,3.7,95,98.5,
2013-2017,China,Asia | Southern and Eastern Asia | East Asia,960001,12.76,1407306,601919,805387,146.6,7745,6192,2712,828.8,727.9,2813,17.17,718.8,27.32,0,0,27.32,2739,828.8,2840,0.9619,,1.8,2.7,829.8,70000,69863,58449,57.02,99.8,,,100,,,,,,,,3.5,93,97.5,
2013-2017,Democratic People's Republic of Korea,Asia | Southern and Eastern Asia | East Asia,12054,21.4,25155,9842,15313,208.7,,127,66,13,12,67,0,4.85,10.15,0,0,10.15,76.15,13,77.15,13.16,,1.3,3.8,13.57,,,,,,,,,,,,,,,,3,99.4,99.9,
2013-2017,Japan,Asia | Southern and Eastern Asia | East Asia,37796,11.96,126573,8001,118572,334.9,32550,630.4,420,27,17,430,0,0,0,0,0,0,420,27,430,0,,1.1,1.7,,,,,,,,,,,,,,,,,3,100,100,
2013-2017,Mongolia,Asia | Southern and Eastern Asia | East Asia,156412,0.3658,2959,853,2106,1.892,3974,377,32.7,6.1,4,34.8,0,26.4,0,0,0,0,32.7,6.1,34.8,0,,2.6,2.9,0.25,518,,,,,,,,,,,,,,,1.3,59.2,66.4,
2013-2017,Republic of Korea,Asia | Southern and Eastern Asia | East Asia,10028,16.86,50293,9262,41031,501.5,27439,127.8,62.25,13.3,10.7,64.85,4.85,0,4.85,0,0,4.85,67.1,13.3,69.7,6.958,,1.5,3.3,,1782,,,,,,,,,,,,,,,3.5,,99.7,
2013-2017,Cambodia,Asia | Southern and Eastern Asia | Mainland Southeast Asia,18104,21.85,15578,12329,3249,86.05,1159,344.7,116,17.6,13,120.6,355.5,471.5,355.5,0,0,355.5,471.5,17.6,476.1,74.67,,0.6,3.1,,,,,,,,,,,,,,,,,3.9,69.1,100,
2013-2017,Lao People's Democratic Republic,Asia | Southern and Eastern Asia | Mainland Southeast Asia,23680,7.154,6802,4091,2711,28.72,1812,434.3,190.4,37.9,37.9,190.4,143.1,333.6,143.1,0,0,143.1,333.5,37.9,333.5,42.91,,0.9,3.6,,600,,,,,,,,,,,,,,,3.9,69.4,85.6,
2013-2017,Myanmar,Asia | Southern and Eastern Asia | Mainland Southeast Asia,67659,18.24,53897,35428,18469,79.66,1204,1415,992.1,453.7,443,1003,128.2,17.6,165,0,,165,1157,453.7,1168,14.13,,0.8,3.7,,10500,,,,,,,,,,,,,,,3.2,74.4,92.7,
2013-2017,Thailand,Asia | Southern and Eastern Asia | Mainland Southeast Asia,51312,41.53,67959,34007,33952,132.4,5812,832.3,213.3,41.9,30.69,224.5,0,61.25,214.1,0,,214.1,427.4,41.9,438.6,48.81,,1,3.5,,12245,,,,,,,,,,,,,,,3.7,98,97.6,
2013-2017,Viet Nam,Asia | Southern and Eastern Asia | Mainland Southeast Asia,33097,30.92,93448,62076,31372,282.3,2076,602.7,323,71.42,35,359.4,524.7,37.15,524.7,0,0,524.7,847.7,71.42,884.1,59.35,,0.7,3.2,,9400,,,,,,,,,,,,,,,3.8,96.9,99.1,
2013-2017,Brunei Darussalam,Asia | Southern and Eastern Asia | Maritime Southeast Asia,577,1.906,423.2,92.4,330.8,73.34,36607,15.71,8.5,0.1,0.1,8.5,0,0,0,0,0,0,8.5,0.1,8.5,0,,0.9,1,0.045,,,,,,,,,,,,,,,,2.3,,,
2013-2017,Indonesia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,191093,24.07,257564,120142,137422,134.8,3347,5163,1973,457.4,411.7,2019,0,0,0,0,,0,1973,457.4,2019,0,,1.1,1.9,23.02,10886,,,,,,,,,,,,,,,3.1,79.5,94.2,
2013-2017,Malaysia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,33080,22.84,30331,7433,22898,91.69,9759,951,566,64,50,580,0,0,0,0,0,0,566,64,580,0,,1,1.7,22.45,413.7,,,,,,,,,,,,,,,3.1,93,100,
2013-2017,Papua New Guinea,Asia | Southern and Eastern Asia | Maritime Southeast Asia,46284,2.161,7619,6626,992.5,16.46,2222,1454,801,211.6,211.6,801,0,0,0,0,,0,801,211.6,801,0,,0.9,1,,36,,,,,,,,,,,,,,,1.6,32.8,88,
2013-2017,Philippines,Asia | Southern and Eastern Asia | Maritime Southeast Asia,30000,36.47,100699,55526,45173,335.7,2900,704.4,444,180,145,479,0,0,0,0,0,0,444,180,479,0,,1.2,2.1,,3126,,,,,,,,,,,,,,,4,90.3,93.7,
2013-2017,Singapore,Asia | Southern and Eastern Asia | Maritime Southeast Asia,71.9,0.9179,5604,-15,5619,7794,52284,1.795,,,,0.6,0,0,0,0,0,0,,,0.6,0,,0.8,1,0.0749,,,,,,,,,,,,,,,,2.9,,100,
2013-2017,Timor-Leste,Asia | Southern and Eastern Asia | Maritime Southeast Asia,1487,15.47,1185,800.7,384.3,79.69,1192,22.3,8.129,0.886,0.8,8.215,0,0,0,0,0,0,8.129,0.886,8.215,0,,2.7,3.6,,,,,,,,,,,,,,,,,2.2,60.5,95.2,
