Time_period,Country,Region,Total area of the country (1000 ha),% of total country area cultivated (%),Total population (1000 inhab),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Surface water: entering the country (total) (10^9 m3/year),Surface water: leaving the country to other countries (total) (10^9 m3/year),Surface water: total external renewable (10^9 m3/year),Groundwater: entering the country (total) (10^9 m3/year),Groundwater: leaving the country to other countries (total) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable surface water (10^9 m3/year),Total renewable groundwater (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total exploitable water resources (10^9 m3/year),Interannual variability (WRI) (-),Seasonal variability (WRI) (-),Total dam capacity (km3),Irrigation potential (1000 ha),Area equipped for irrigation: total (1000 ha),Area equipped for irrigation: actually irrigated (1000 ha),% of the cultivated area equipped for irrigation (%),% of irrigation potential equipped for irrigation (%),Flood recession cropping area non-equipped (1000 ha),Cultivated wetlands and inland valley bottoms non-equipped (1000 ha),% of agricultural water managed area equipped for irrigation (%),% of area equipped for irrigation by surface water (%),% of area equipped for irrigation by groundwater  (%),Total harvested irrigated crop area (full control irrigation) (1000 ha),Irrigated cropping intensity (%),% of total grain production irrigated (%),Area salinized by irrigation (1000 ha),Area waterlogged by irrigation (1000 ha),Flood occurrence (WRI) (-),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhab)
2008-2012,Oman,Asia | Middle East | Arabian Peninsula,30950,0.2352,3545,1020,2525,11.45,21535,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,0,,,0.0884,,,,,,,,,,,,,,,,,86.1,95.5,
2008-2012,Qatar,Asia | Middle East | Arabian Peninsula,1161,1.337,2016,-13,2029,173.6,94246,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,52.13,,,,,,,,,,,,,,,,100,100,
2008-2012,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,1.556,29496,6156,23340,13.72,24885,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,1.004,,,,,,,,,,,,,,,,,97,97,
2008-2012,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,0.9175,8953,1157,7796,107.1,41662,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,0.0611,,92,76,119.9,,,,100,,,,,,,,,100,99.6,
2008-2012,Yemen,Asia | Middle East | Arabian Peninsula,52797,2.936,24883,17042,7841,47.13,1289,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,,,,,,,,,,,,,,,,,,46.5,72,
2008-2012,Armenia,Asia | Middle East | Caucasus,2974,16.98,2978,1103,1875,100.1,3566,16.71,3.948,4.311,1.4,6.859,0,5.28,0.91,0,,0.91,4.858,4.311,7.769,11.71,,,,,666,,,,,,,,,,,,,,,,99.4,99.8,
2008-2012,Azerbaijan,Asia | Middle East | Caucasus,8660,24.57,9361,4348,5013,108.1,7342,38.71,5.955,6.51,4.35,8.115,19.76,,26.56,0,,26.56,32.52,6.51,34.68,76.6,,,,21.5,3200,1425,1358,66.96,44.53,,,100,,,,,,,,,74,93.4,
2008-2012,Georgia,Asia | Middle East | Caucasus,6970,7.532,4139,1822,2317,59.38,3829,71.51,56.9,17.23,16,58.13,8.35,11.91,5.2,0,,5.2,62.1,17.23,63.33,8.211,,,,3.414,725,,,,,,,,,,,,,,,,96.4,100,
2008-2012,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,9.609,76157,21308,54849,43.64,7708,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,32.24,15000,8700,,51.88,58,,,100,,,,,,,,,91.7,97.7,
2008-2012,Iraq,Asia | Middle East | Near East,43505,10.5,32958,10284,22674,75.76,6614,93.97,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,151.8,5554,,,,,,,,,,2050,131.1,,,,,68.5,93.9,
2008-2012,Israel,Asia | Middle East | Near East,2207,17.5,7695,667,7028,348.7,33788,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,,,,,,,,,,,,,,,,100,100,
2008-2012,Jordan,Asia | Middle East | Near East,8932,3.391,6994,1178,5816,78.3,4423,9.915,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,0.2749,85,95.65,,31.58,112.5,,,100,,,95.65,,,,,,92.1,97.9,
